state#=1799      
E=-9.598171097981516e-10
-1.133534e-05+1.133533e-05j      -1.133534e-05-1.133533e-05j      
2.893694e-06+3.484616e-05j       2.893694e-06-3.484616e-05j       
-2.730871e-09-1.783516e-01j      -1.394941e-09+1.783516e-01j      
1.603284e-09+2.635440e-02j       1.405878e-09-2.635440e-02j       
8.715205e-10+1.763365e-02j       7.394367e-10-1.763365e-02j       
-3.194371e-09-1.862469e-02j      -3.054864e-09+1.862469e-02j      
1.535744e-09+1.092600e-02j       1.453903e-09-1.092600e-02j       
3.715751e-09-5.912983e-03j       3.760042e-09+5.912983e-03j       
-5.282206e-09+3.801947e-03j      -5.310684e-09-3.801947e-03j      
-1.310079e-09-2.830285e-03j      -1.288879e-09+2.830285e-03j      
7.334264e-09+2.126719e-03j       7.318334e-09-2.126719e-03j       
-1.497799e-09-1.542859e-03j      -1.486242e-09+1.542859e-03j      
-8.861193e-09+1.100444e-03j      -8.869436e-09-1.100444e-03j      
6.402177e-09-7.880702e-04j       6.408079e-09+7.880702e-04j       
4.107080e-09+5.686169e-04j       4.102821e-09-5.686169e-04j       
-3.051173e-09-4.109563e-04j      -3.048095e-09+4.109563e-04j      
-5.577640e-09+2.964144e-04j      -5.579860e-09-2.964144e-04j      
7.560884e-09-2.134895e-04j       7.562483e-09+2.134895e-04j       
-7.341257e-09+1.537866e-04j      -7.342409e-09-1.537866e-04j      
5.428675e-09-1.108477e-04j       5.429506e-09+1.108477e-04j       
-1.421120e-08+7.991374e-05j      -1.421180e-08-7.991374e-05j      
1.036414e-08-5.760340e-05j       1.036457e-08+5.760340e-05j       
-3.590002e-08+4.151569e-05j      -3.590033e-08-4.151569e-05j      
7.239362e-09-2.992104e-05j       7.239586e-09+2.992104e-05j       
-9.283864e-08+2.156572e-05j      -9.283880e-08-2.156572e-05j      
-3.551298e-08-1.554357e-05j      -3.551287e-08+1.554357e-05j      
-2.749701e-07+1.120233e-05j      -2.749702e-07-1.120233e-05j      
-2.585354e-07-8.073562e-06j      -2.585354e-07+8.073562e-06j      
-9.081867e-07+5.822815e-06j      -9.081868e-07-5.822815e-06j      
-1.244008e-06-4.218504e-06j      -1.244008e-06+4.218504e-06j      
-3.093382e-06+3.093384e-06j      -3.093382e-06-3.093384e-06j      
-6.615310e-06-2.593477e-06j      -6.615310e-06+2.593478e-06j      
-4.822004e-02-6.801848e-10j      -4.822004e-02+1.041374e-09j      
-1.763365e-02-7.394368e-10j      -1.763365e-02+8.715205e-10j      
2.371400e-02+4.077541e-09j       2.371400e-02-4.255169e-09j       
-5.982577e-03-3.094054e-09j      -5.982577e-03+3.138866e-09j      
-7.981754e-03-4.320361e-09j      -7.981754e-03+4.380148e-09j      
1.181754e-02+8.332762e-09j       1.181754e-02-8.421280e-09j       
-9.981506e-03+1.628083e-09j      -9.981506e-03-1.553317e-09j      
7.081298e-03-1.483910e-08j       7.081298e-03+1.478605e-08j       
-4.897677e-03+7.320006e-09j      -4.897677e-03-7.283320e-09j      
3.488741e-03+1.484534e-08j       3.488741e-03-1.487147e-08j       
-2.535674e-03-1.208622e-08j      -2.535674e-03+1.210521e-08j      
1.840954e-03-1.783497e-08j       1.840954e-03+1.782118e-08j       
-1.327153e-03+2.110817e-08j      -1.327153e-03-2.109823e-08j      
9.542038e-04+6.838040e-09j       9.542038e-04-6.845188e-09j       
-6.869932e-04-3.953715e-09j      -6.869932e-04+3.958861e-09j      
4.953794e-04-1.668953e-08j       4.953794e-04+1.668582e-08j       
-3.572646e-04+1.467711e-08j      -3.572646e-04-1.467443e-08j      
2.575227e-04-3.117154e-08j       2.575227e-04+3.116961e-08j       
-1.855749e-04+4.351529e-09j      -1.855749e-04-4.350139e-09j      
1.337394e-04-7.868210e-08j       1.337394e-04+7.868110e-08j       
-9.639709e-05-2.878814e-08j      -9.639709e-05+2.878886e-08j      
6.948378e-05-2.366967e-07j       6.948378e-05+2.366962e-07j       
-5.008315e-05-2.181265e-07j      -5.008315e-05+2.181269e-07j      
3.610122e-05-7.753960e-07j       3.610122e-05+7.753957e-07j       
-2.603225e-05-1.053191e-06j      -2.603225e-05+1.053191e-06j      
1.880149e-05-2.743394e-06j       1.880149e-05+2.743394e-06j       
-1.366824e-05-4.502464e-06j      -1.366824e-05+4.502464e-06j      
1.020127e-05-1.020127e-05j       1.020127e-05+1.020127e-05j       
-8.273655e-06-1.760504e-05j      -8.273655e-06+1.760504e-05j      
9.564979e-06-4.618531e-05j       9.564980e-06+4.618531e-05j       
1.845369e-09+1.572275e-01j       6.676674e-10-1.572275e-01j       
1.553721e-09+2.142723e-02j       1.393222e-09-2.142723e-02j       
-4.255169e-09-2.371400e-02j      -4.077541e-09+2.371400e-02j      
2.651502e-09+2.740297e-03j       2.630977e-09-2.740297e-03j       
3.970285e-09+6.149455e-03j       3.924223e-09-6.149455e-03j       
-7.576868e-09-5.491100e-03j      -7.535738e-09+5.491100e-03j      
-1.260448e-11+2.966676e-03j      -3.482600e-11-2.966676e-03j      
1.108833e-08-1.523560e-03j       1.109974e-08+1.523560e-03j       
-7.099730e-09+1.007276e-03j      -7.107275e-09-1.007276e-03j      
-1.075147e-08-7.852472e-04j      -1.074559e-08+7.852472e-04j      
1.452778e-08+5.976878e-04j       1.452331e-08-5.976878e-04j       
5.265875e-09-4.300831e-04j       5.269097e-09+4.300831e-04j       
-1.545080e-08+3.041360e-04j      -1.545308e-08-3.041360e-04j      
-1.593314e-09-2.175900e-04j      -1.591684e-09+2.175900e-04j      
1.267727e-08+1.574471e-04j       1.267610e-08-1.574471e-04j       
-3.828888e-09-1.139779e-04j      -3.828034e-09+1.139779e-04j      
-1.050060e-09+8.217882e-05j      -1.050676e-09-8.217882e-05j      
2.391762e-09-5.914077e-05j       2.392205e-09+5.914077e-05j       
9.914358e-09+4.259326e-05j       9.914040e-09-4.259326e-05j       
1.284577e-09-3.070794e-05j       1.284807e-09+3.070794e-05j       
2.798955e-08+2.214235e-05j       2.798938e-08-2.214235e-05j       
2.469187e-08-1.596026e-05j       2.469199e-08+1.596026e-05j       
8.867700e-08+1.150151e-05j       8.867691e-08-1.150151e-05j       
1.193803e-07-8.287891e-06j       1.193803e-07+8.287891e-06j       
3.142635e-07+5.969611e-06j       3.142635e-07-5.969611e-06j       
5.104911e-07-4.289999e-06j       5.104912e-07+4.289999e-06j       
1.162579e-06+3.054759e-06j       1.162579e-06-3.054759e-06j       
2.097586e-06-2.097587e-06j       2.097586e-06+2.097587e-06j       
4.218502e-06+1.244008e-06j       4.218502e-06-1.244009e-06j       
1.011562e-05-9.226432e-09j       1.011562e-05+9.226357e-09j       
2.860512e-02-5.619793e-10j       2.860512e-02+3.477146e-10j       
1.862469e-02+3.054864e-09j       1.862469e-02-3.194371e-09j       
-2.740297e-03-2.630977e-09j      -2.740297e-03+2.651503e-09j      
-1.004393e-02-4.036984e-09j      -1.004393e-02+4.112218e-09j      
8.342024e-03+9.149287e-09j       8.342024e-03-9.211772e-09j       
-1.585246e-03-6.957489e-10j      -1.585246e-03+7.076229e-10j      
-2.641193e-03-1.528926e-08j      -2.641193e-03+1.530905e-08j      
3.444863e-03+1.227338e-08j       3.444863e-03-1.229918e-08j       
-2.698675e-03+1.548352e-08j      -2.698675e-03-1.546330e-08j      
1.831549e-03-2.548501e-08j       1.831549e-03+2.547129e-08j       
-1.255490e-03-1.088495e-08j      -1.255490e-03+1.089435e-08j      
