path: a-site half edge
site#     Density                            
0         0.0021611379062909                 
1         0.005366665190249504               
2         0.007616949609514428               
3         0.00861235776202672                
4         0.008860467865123421               
5         0.008821517280430593               
6         0.008718719059134112               
7         0.008620054713065484               
8         0.008532814557317837               
9         0.00845163295855535                
10        0.008373067446040609               
11        0.008296527596092866               
12        0.008222482895179071               
13        0.008151396385053876               
14        0.008083512622153007               
15        0.008018958346021336               
16        0.007957839042647595               
17        0.007900267428565998               
18        0.007846356416282778               
19        0.007796211149692712               
20        0.00774993659999903                
21        0.0077076996341348784              
22        0.007669661508290189               
23        0.0076365660473252705              
24        0.007605788260641291               
25        0.007592360619924668               
26        0.007530830463532344               
27        0.007962318877360625               
28        0.007278480964175511               
29        0.02779565399841675                
