path: a-site half edge
site#     Density                            
0         0.0050147445191251585              
1         0.011840601630632832               
2         0.01577283367617567                
3         0.016606343780710464               
4         0.01585478720081688                
5         0.014645289662886647               
6         0.013442938660628657               
7         0.012354615694775178               
8         0.011373027443905875               
9         0.010477435975512489               
10        0.009655775168096296               
11        0.008902132929784439               
12        0.008212324231166218               
13        0.007582196857980433               
14        0.007007574726104637               
15        0.006484523194707015               
16        0.006009472817626626               
17        0.005579211652183306               
18        0.005190841469250565               
19        0.004841746090586756               
20        0.004529575203206238               
21        0.0042522635481914185              
22        0.004007951966375159               
23        0.0037953637904698393              
24        0.0036116269124724524              
25        0.003463311536689402               
26        0.0033183910371881206              
27        0.0034157848851755312              
28        0.0030562431762155046              
29        0.011443978186647961               
