path: a-site half edge
site#     Density                            
0         0.009721053674674289               
1         0.021652520011506433               
2         0.026796652297759856               
3         0.025970321572464494               
4         0.022741251000968087               
5         0.019270504854046303               
6         0.01625086429554814                
7         0.013735250581268114               
8         0.011629889010532309               
9         0.009851367245337781               
10        0.008343746749044463               
11        0.007066245953600742               
12        0.005984906969825971               
13        0.005070177621821903               
14        0.00429660253757907                
15        0.0036425908989123307              
16        0.0030899410828725076              
17        0.002623306975096864               
18        0.0022297366505739363              
19        0.001898303016521272               
20        0.0016198021587798608              
21        0.0013865104247709269              
22        0.0011919405874603593              
23        0.0010307993925721924              
24        0.0008982202125935199              
25        0.0007926087275044022              
26        0.0007039644580251195              
27        0.0006793610319476891              
28        0.000579537343100113               
29        0.0020526768296036998              
