path: a-site half edge
site#     Density                            
0         0.0024558249094996376              
1         0.0060549473665629395              
2         0.008517000104674297               
3         0.009533391193392998               
4         0.0097050446685999                 
5         0.009560747532386574               
6         0.009351616551548543               
7         0.009151953197590053               
8         0.00896876309688302                
9         0.008795794845256028               
10        0.008629306609257592               
11        0.008468753399781488               
12        0.008314704902815911               
13        0.008167685551032675               
14        0.008027971005692969               
15        0.00789571075151367                
16        0.007771033625176559               
17        0.007654076313396877               
18        0.00754497468142349                
19        0.007443855162503732               
20        0.007350841321025498               
21        0.007266112602979516               
22        0.007189834782123936               
23        0.007122729750385453               
24        0.007062336739218272               
25        0.00702279872056916                
26        0.0069432317388239545              
27        0.007323281411905331               
28        0.006680716443206167               
29        0.0254707145752376                 
