path: a-site half edge
site#     Density                            
0         0.04118576757509543                
1         0.06361858098526954                
2         0.04944096756220101                
3         0.028454799507479853               
4         0.014652683082705151               
5         0.007450566653803515               
6         0.0038513061364171437              
7         0.0020093861425229077              
8         0.0010471908570536567              
9         0.0005439328075112845              
10        0.00028225268713013576             
11        0.00014657001157199228             
12        7.61605598392984e-05               
13        3.957458422510475e-05              
14        2.0558947850002732e-05             
15        1.0679300465166914e-05             
16        5.5476081640162796e-06             
17        2.8820002851976155e-06             
18        1.497216642432217e-06              
19        7.777975059229261e-07              
20        4.040588453116571e-07              
21        2.0990780161060662e-07             
22        1.0904972639969094e-07             
23        5.666115377753123e-08              
24        2.944645243270004e-08              
25        1.5346515287266108e-08             
26        8.008804871534731e-09              
27        4.449147442205782e-09              
28        2.4452588412935472e-09             
29        3.978665405473075e-09              
