path: a-site half edge
site#     Density                            
0         0.01993063249564835                
1         0.039423449016061575               
2         0.0419808220768067                 
3         0.03435991254883263                
4         0.025254929563222887               
5         0.01800982673246035                
6         0.012842977908950597               
7         0.009204627233319032               
8         0.006611428517038295               
9         0.004748020818075115               
10        0.0034076967234392087              
11        0.002445106764123685               
12        0.0017544968133758772              
13        0.00125906322554849                
14        0.0009035638227579896              
15        0.0006484396943031443              
16        0.00046535131484036984             
17        0.00033396714832022525             
18        0.00023969198966477246             
19        0.00017205019620663463             
20        0.00012352531241526752             
21        8.872608881518252e-05              
22        6.378503092483532e-05              
23        4.593620745640323e-05              
24        3.3181737504702565e-05             
25        2.4177628211673127e-05             
26        1.773262882987966e-05              
27        1.4190251833496361e-05             
28        1.0495886607580146e-05             
29        3.0162058269491036e-05             
