path: a-site half edge
site#     Density                            
0         0.08236642815640283                
1         0.07315776002901128                
2         0.02805779769737494                
3         0.007667910835151509               
4         0.0020543898189782175              
5         0.0005987633263106534              
6         0.00017659811568797312             
7         5.0265592861002364e-05             
8         1.418941262318163e-05              
9         4.074650434225779e-06              
10        1.1762462125250014e-06             
11        3.3653637537425547e-07             
12        9.596375399782325e-08              
13        2.7498592503197527e-08             
14        7.896837702685979e-09              
15        2.2614335026824384e-09             
16        6.466992363318005e-10              
17        1.8523779744433306e-10             
18        5.3107996736397907e-11             
19        1.5211364523875064e-11             
20        4.354226671407435e-12              
21        1.2471479315187834e-12             
22        3.5738176461072677e-13             
23        1.0239888933328636e-13             
24        2.935645688485515e-14              
25        8.446198876949509e-15              
26        2.454950937703741e-15              
27        7.485065531630119e-16              
28        2.464728362190738e-16              
29        1.4433336636241244e-16             
