x                        y         weight                        
-1.7320508075688772      -91       0.000000e+00                  
0.0000000000000000       -91       0.000000e+00                  
1.7320508075688772       -91       0.000000e+00                  
3.4641016151377548       -91       0.000000e+00                  
5.1961524227066320       -91       0.000000e+00                  
6.9282032302755088       -91       0.000000e+00                  
8.6602540378443873       -91       0.000000e+00                  
10.3923048454132640      -91       0.000000e+00                  
12.1243556529821408      -91       0.000000e+00                  
13.8564064605510175      -91       0.000000e+00                  
15.5884572681198943      -91       0.000000e+00                  
17.3205080756887710      -91       0.000000e+00                  
19.0525588832576496      -91       0.000000e+00                  
20.7846096908265245      -91       0.000000e+00                  
22.5166604983954031      -91       0.000000e+00                  
24.2487113059642780      -91       0.000000e+00                  
25.9807621135331566      -91       0.000000e+00                  
27.7128129211020351      -91       0.000000e+00                  
29.4448637286709101      -91       0.000000e+00                  
31.1769145362397886      -91       0.000000e+00                  
32.9089653438086671      -91       0.000000e+00                  
34.6410161513775492      -91       0.000000e+00                  
36.3730669589464242      -91       0.000000e+00                  
38.1051177665152991      -91       0.000000e+00                  
39.8371685740841812      -91       0.000000e+00                  
41.5692193816530562      -91       0.000000e+00                  
43.3012701892219312      -91       0.000000e+00                  
45.0333209967908061      -91       0.000000e+00                  
46.7653718043596882      -91       0.000000e+00                  
48.4974226119285632      -91       0.000000e+00                  
50.2294734194974382      -91       0.000000e+00                  
51.9615242270663202      -91       0.000000e+00                  
53.6935750346351952      -91       0.000000e+00                  
55.4256258422040702      -91       0.000000e+00                  
57.1576766497729523      -91       0.000000e+00                  
58.8897274573418272      -91       0.000000e+00                  
60.6217782649107022      -91       0.000000e+00                  
62.3538290724795772      -91       0.000000e+00                  
64.0858798800484522      -91       0.000000e+00                  
65.8179306876173342      -91       0.000000e+00                  
67.5499814951862021      -91       0.000000e+00                  
69.2820323027550842      -91       0.000000e+00                  
71.0140831103239663      -91       0.000000e+00                  
72.7461339178928341      -91       0.000000e+00                  
74.4781847254617162      -91       0.000000e+00                  
76.2102355330305983      -91       0.000000e+00                  
77.9422863405994661      -91       0.000000e+00                  
79.6743371481683482      -91       0.000000e+00                  
81.4063879557372303      -91       0.000000e+00                  
83.1384387633060982      -91       0.000000e+00                  
84.8704895708749802      -91       0.000000e+00                  
86.6025403784438481      -91       0.000000e+00                  
88.3345911860127302      -91       0.000000e+00                  
90.0666419935816123      -91       0.000000e+00                  
91.7986928011504801      -91       0.000000e+00                  
93.5307436087193622      -91       0.000000e+00                  
95.2627944162882443      -91       0.000000e+00                  
96.9948452238571122      -91       0.000000e+00                  
98.7268960314259942      -91       0.000000e+00                  
100.4589468389948763     -91       0.000000e+00                  
102.1909976465637442     -91       0.000000e+00                  
-1.7320508075688772      -89       0.000000e+00                  
0.0000000000000000       -89       0.000000e+00                  
1.7320508075688772       -89       0.000000e+00                  
3.4641016151377548       -89       0.000000e+00                  
5.1961524227066320       -89       0.000000e+00                  
6.9282032302755088       -89       0.000000e+00                  
8.6602540378443873       -89       0.000000e+00                  
10.3923048454132640      -89       0.000000e+00                  
12.1243556529821408      -89       0.000000e+00                  
13.8564064605510175      -89       0.000000e+00                  
15.5884572681198943      -89       0.000000e+00                  
17.3205080756887710      -89       0.000000e+00                  
19.0525588832576496      -89       0.000000e+00                  
20.7846096908265245      -89       0.000000e+00                  
22.5166604983954031      -89       0.000000e+00                  
24.2487113059642780      -89       0.000000e+00                  
25.9807621135331566      -89       0.000000e+00                  
27.7128129211020351      -89       0.000000e+00                  
29.4448637286709101      -89       0.000000e+00                  
31.1769145362397886      -89       0.000000e+00                  
32.9089653438086671      -89       0.000000e+00                  
34.6410161513775492      -89       0.000000e+00                  
36.3730669589464242      -89       0.000000e+00                  
38.1051177665152991      -89       0.000000e+00                  
39.8371685740841812      -89       0.000000e+00                  
41.5692193816530562      -89       0.000000e+00                  
43.3012701892219312      -89       0.000000e+00                  
45.0333209967908061      -89       0.000000e+00                  
46.7653718043596882      -89       0.000000e+00                  
48.4974226119285632      -89       0.000000e+00                  
50.2294734194974382      -89       0.000000e+00                  
51.9615242270663202      -89       0.000000e+00                  
53.6935750346351952      -89       0.000000e+00                  
55.4256258422040702      -89       0.000000e+00                  
57.1576766497729523      -89       0.000000e+00                  
58.8897274573418272      -89       0.000000e+00                  
60.6217782649107022      -89       0.000000e+00                  
62.3538290724795772      -89       0.000000e+00                  
64.0858798800484522      -89       0.000000e+00                  
65.8179306876173342      -89       0.000000e+00                  
67.5499814951862021      -89       0.000000e+00                  
69.2820323027550842      -89       0.000000e+00                  
71.0140831103239663      -89       0.000000e+00                  
72.7461339178928341      -89       0.000000e+00                  
74.4781847254617162      -89       0.000000e+00                  
76.2102355330305983      -89       0.000000e+00                  
77.9422863405994661      -89       0.000000e+00                  
79.6743371481683482      -89       0.000000e+00                  
81.4063879557372303      -89       0.000000e+00                  
83.1384387633060982      -89       0.000000e+00                  
84.8704895708749802      -89       0.000000e+00                  
86.6025403784438481      -89       0.000000e+00                  
88.3345911860127302      -89       0.000000e+00                  
90.0666419935816123      -89       0.000000e+00                  
91.7986928011504801      -89       0.000000e+00                  
93.5307436087193622      -89       0.000000e+00                  
95.2627944162882443      -89       0.000000e+00                  
96.9948452238571122      -89       0.000000e+00                  
98.7268960314259942      -89       0.000000e+00                  
100.4589468389948763     -89       0.000000e+00                  
102.1909976465637442     -89       0.000000e+00                  
-1.7320508075688772      -88       0.000000e+00                  
0.0000000000000000       -88       0.000000e+00                  
1.7320508075688772       -88       0.000000e+00                  
3.4641016151377548       -88       0.000000e+00                  
5.1961524227066320       -88       0.000000e+00                  
6.9282032302755088       -88       0.000000e+00                  
8.6602540378443873       -88       0.000000e+00                  
10.3923048454132640      -88       0.000000e+00                  
12.1243556529821408      -88       0.000000e+00                  
13.8564064605510175      -88       0.000000e+00                  
15.5884572681198943      -88       0.000000e+00                  
17.3205080756887710      -88       0.000000e+00                  
19.0525588832576496      -88       0.000000e+00                  
20.7846096908265245      -88       0.000000e+00                  
22.5166604983954031      -88       0.000000e+00                  
24.2487113059642780      -88       0.000000e+00                  
25.9807621135331566      -88       0.000000e+00                  
27.7128129211020351      -88       0.000000e+00                  
29.4448637286709101      -88       0.000000e+00                  
31.1769145362397886      -88       0.000000e+00                  
32.9089653438086671      -88       0.000000e+00                  
34.6410161513775492      -88       0.000000e+00                  
36.3730669589464242      -88       0.000000e+00                  
38.1051177665152991      -88       0.000000e+00                  
39.8371685740841812      -88       0.000000e+00                  
41.5692193816530562      -88       0.000000e+00                  
43.3012701892219312      -88       0.000000e+00                  
45.0333209967908061      -88       0.000000e+00                  
46.7653718043596882      -88       0.000000e+00                  
48.4974226119285632      -88       0.000000e+00                  
50.2294734194974382      -88       3.978665e-09                  
51.9615242270663202      -88       0.000000e+00                  
53.6935750346351952      -88       0.000000e+00                  
55.4256258422040702      -88       0.000000e+00                  
57.1576766497729523      -88       0.000000e+00                  
58.8897274573418272      -88       0.000000e+00                  
60.6217782649107022      -88       0.000000e+00                  
62.3538290724795772      -88       0.000000e+00                  
