xi=26.106673187008298
path: a-site half edge
site#     Density                            
3         0.011929936027823424               
4         0.011481608463415277               
5         0.011050129070241188               
6         0.010634864693223337               
7         0.010235205971281901               
8         0.009850566443155467               
9         0.009480381686824777               
10        0.009124108491276954               
11        0.008781224059394865               
12        0.008451225240801954               
13        0.008133627793536793               
14        0.007827965673473936               
