xi=1.5299504033473574
path: a-site half edge
site#     Density                            
1         0.06361863974564357                
2         0.05267297852526479                
3         0.02739845496495654                
4         0.014251621143973991               
5         0.007413144481728943               
6         0.003856032275333446               
7         0.0020057594918135723              
8         0.0010433188447968452              
9         0.0005426942843102328              
10        0.0002822886672581326              
11        0.0001468356936238146              
12        7.63782731039324e-05               
13        3.972903630151648e-05              
14        2.0665514698131473e-05             
