xi=12.204213934708369
path: a-site half edge
site#     Density                            
3         0.016606347813388697               
4         0.015827819139961542               
5         0.014582616750537207               
6         0.013435376624701881               
7         0.012378391898760966               
8         0.011404562021551146               
9         0.010507345054766422               
10        0.009680713725901433               
11        0.008919114938587094               
12        0.008217432468319373               
13        0.007570952592980762               
14        0.006975332427269108               
