xi=51.76924323982629
path: a-site half edge
site#     Density                            
4         0.00970843599533642                
5         0.009522702733876164               
6         0.009340522757870869               
7         0.009161828088987387               
8         0.008986552049394272               
9         0.008814629236881717               
10        0.008645995500457495               
11        0.00848058791640976                
12        0.008318344764827788               
13        0.00815920550657193                
14        0.00800311076068412                
