xi=10.522372173026742
path: a-site half edge
site#     Density                            
0         0.004756395536722188               
1         0.005230598699856818               
2         0.0057520789740287395              
3         0.006325549793060826               
4         0.006956194510741767               
5         0.007649713250910868               
6         0.008412374428402994               
7         0.00925107140652914                
8         0.010173384803194973               
9         0.010477949855444079               
10        0.00952802476087438                
11        0.008664219345988433               
12        0.007878726048620303               
13        0.007164445135838898               
14        0.006514920532543996               
