xi=6.045437032857362
path: a-site half edge
site#     Density                            
2         0.02679665869950153                
3         0.02656164371200365                
4         0.022512128230047994               
5         0.019079990792026713               
6         0.016171107631570557               
7         0.013705704834046309               
8         0.011616170597446976               
9         0.009845201029997296               
10        0.008344228634379978               
11        0.0070720903809544525              
12        0.005993898842886254               
13        0.005080085434924047               
14        0.004305589517373374               
