xi=3.0131924926124634
path: a-site half edge
site#     Density                            
2         0.041980824857782956               
3         0.03478665513903482                
4         0.024962131128970107               
5         0.01791227089840829                
6         0.012853447771756902               
7         0.009223348650670718               
8         0.006618470144544057               
9         0.0047492671819399975              
10        0.003407968650284837               
11        0.0024454826137155793              
12        0.0017548240103339395              
13        0.001259222735820538               
14        0.0009035902683515342              
